roomId,roomName,date,segmentIndex,wordCount,duration_s,questionCount,responseCount,correctCount,avgAccuracy,avgAccuracy_pct,keywords,transcriptSnippet
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,0,133,120,2,48,43,0.8958,89.6,"supervised learning, supervised, regression, learning, output",Welcome to the first session. Today we start with supervised learning and the concept of regression.
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,1,140,128,2,46,37,0.8043,80.4,"w0, hat, matrix, column, weight",The linear regression model has the form y-hat equals w0 plus w1 times x1 plus w2 times x2 and so on.
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,2,145,132,2,47,32,0.6809,68.1,"differences, outliers, mae, use, mse","To measure how wrong our predictions are, we use a loss function. For regression the standard choice is mean squared error."
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,3,152,140,2,45,26,0.5778,57.8,"transpose, normal, equation, normal equation, features",The closed-form solution to linear regression is called the normal equation.
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,4,148,135,2,44,30,0.6818,68.2,"regularisation, weights, adds, regularisation adds, lambda",Regularisation is a technique to prevent overfitting by penalising large weights.
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,5,160,148,2,42,14,0.3333,33.3,"gradient, gradient descent, descent, batch, weights",Gradient descent is the algorithm we use to find the optimal weights when the normal equation is too expensive.
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,6,151,138,2,45,36,0.8,80.0,"model, squared, means model, value, evaluate","To evaluate a regression model we look at R-squared, which tells us what fraction of the variance in the output the model explains."
demo000000000000000000001,Day 1 - Linear Regression Fundamentals,2026-05-12,7,94,80,0,0,0,,,"session, linear, descent scalable, evaluation, covered",That wraps up session one. Next time we move to logistic regression and classification.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,0,128,116,2,47,43,0.9149,91.5,"classification, class, predicting, class output, spam",Classification is the task of predicting a discrete class label rather than a continuous value.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,1,140,128,2,46,35,0.7609,76.1,"sigma, equals, equals sigma, sigma equals, sigma approaches","The sigmoid function squashes any real number into the range zero to one, making it suitable for producing probabilities."
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,2,143,130,2,45,29,0.6444,64.4,"boundary, decision boundary, decision, feature, linear",A decision boundary is the surface in feature space where the model predicts exactly 50 percent probability for each class.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,3,151,138,2,43,25,0.5814,58.1,"hat, loss, log, close, wrong",We cannot use MSE as the loss for logistic regression because the resulting optimisation problem is non-convex.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,4,145,132,2,40,14,0.35,35.0,"likelihood, log, training, loss, log likelihood",The cross-entropy loss is derived from the principle of maximum likelihood estimation.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,5,148,135,2,44,31,0.7045,70.5,"precision, recall, fraction, accuracy, positives",Precision and recall are more informative than accuracy when the classes are imbalanced.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,6,143,130,2,45,36,0.8,80.0,"class, softmax, binary, weight, softmax function",Multi-class logistic regression extends binary logistic regression using the softmax function.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,7,126,115,2,43,37,0.8605,86.0,"regularisation, weights, l2, adds sum, l2 regularisation",Regularisation in logistic regression works the same way as in linear regression â€” L2 penalises large weights.
demo000000000000000000002,Day 2 - Logistic Regression and Classification,2026-05-14,8,80,68,0,0,0,,,"decision, linear, loss, class, evaluation",Summary: logistic regression models class probabilities using the sigmoid function and log loss.
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,0,148,135,2,48,44,0.9167,91.7,"leaf, feature, branch, threshold, prediction",Decision trees are a completely different approach to machine learning from the linear models we studied last week.
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,1,155,142,2,46,31,0.6739,67.4,"gini, gini impurity, impurity, entropy, node",To build a decision tree we need a criterion for choosing which feature and threshold to split on at each node.
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,2,138,125,2,45,30,0.6667,66.7,"leaf, number, tree, training, number samples",A fully grown decision tree will almost always overfit the training data.
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,3,140,128,2,44,27,0.6136,61.4,"importance, feature, importances, feature importance, features",Feature importance in decision trees measures how much each feature contributes to reducing impurity across all splits.
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,4,155,142,2,46,36,0.7826,78.3,"example, models, model, weak, wrong",Ensemble methods combine many weak models to produce a stronger model.
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,5,133,122,2,44,29,0.6591,65.9,"bag, sample, bootstrap, examples, percent","Random Forest builds many decision trees, each trained on a random bootstrap sample of the data."
demo000000000000000000003,Day 3 - Decision Trees and Random Forests,2026-05-17,6,138,126,2,39,13,0.3333,33.3,"features, bootstrap, random, variance, sampling","Bagging, or bootstrap aggregating, reduces variance. But alone it is not enough because the trees are correlated."
